game_id,treatment,cohort_id,round,player1_id,player2_id,player1_choice,player2_choice,player1_payout,player2_payout
1,0.6,1,1,137,276,B,B,12,12
2,0.6,1,1,261,176,R,B,0,42
3,0.6,1,1,202,209,B,B,12,12
4,0.6,1,1,111,254,B,B,12,12
5,0.6,1,2,254,276,B,B,12,12
6,0.6,1,2,202,137,B,B,12,12
7,0.6,1,2,209,176,R,B,0,42
8,0.6,1,2,111,261,B,B,12,12
9,0.6,1,3,176,254,B,B,12,12
10,0.6,1,3,261,276,R,B,0,42
11,0.6,1,3,111,209,R,B,0,42
12,0.6,1,3,202,137,R,B,0,42
13,0.6,1,4,261,254,B,B,12,12
14,0.6,1,4,276,209,B,R,42,0
15,0.6,1,4,137,202,B,R,42,0
16,0.6,1,4,176,111,B,B,12,12
17,0.6,1,5,111,209,B,B,12,12
18,0.6,1,5,276,261,B,R,42,0
19,0.6,1,5,137,176,B,B,12,12
20,0.6,1,5,254,202,B,R,42,0
21,0.6,1,6,209,202,B,R,42,0
22,0.6,1,6,261,111,B,B,12,12
23,0.6,1,6,137,254,B,B,12,12
24,0.6,1,6,276,176,B,B,12,12
25,0.6,1,7,202,111,R,R,45,45
26,0.6,1,7,254,137,B,B,12,12
27,0.6,1,7,176,276,B,B,12,12
28,0.6,1,7,209,261,R,R,45,45
29,0.6,1,8,202,261,R,R,45,45
30,0.6,1,8,176,111,B,R,42,0
31,0.6,1,8,137,276,B,B,12,12
32,0.6,1,8,254,209,B,R,42,0
33,0.6,1,9,209,202,B,R,42,0
34,0.6,1,9,176,137,B,B,12,12
35,0.6,1,9,111,261,B,R,42,0
36,0.6,1,9,276,254,B,B,12,12
37,0.6,1,10,209,176,R,B,0,42
38,0.6,1,10,111,276,B,B,12,12
39,0.6,1,10,261,254,B,B,12,12
40,0.6,1,10,137,202,B,R,42,0
41,0.6,1,11,111,137,R,B,0,42
42,0.6,1,11,254,209,B,B,12,12
43,0.6,1,11,176,261,B,R,42,0
44,0.6,1,11,276,202,B,R,42,0
45,0.6,1,12,111,276,B,B,12,12
46,0.6,1,12,254,137,B,B,12,12
47,0.6,1,12,261,209,B,R,42,0
48,0.6,1,12,176,202,B,R,42,0
49,0.6,1,13,137,261,B,B,12,12
50,0.6,1,13,202,276,R,B,0,42
51,0.6,1,13,209,111,B,R,42,0
52,0.6,1,13,176,254,B,B,12,12
53,0.6,1,14,111,261,B,R,42,0
54,0.6,1,14,209,176,R,B,0,42
55,0.6,1,14,137,202,B,R,42,0
56,0.6,1,14,276,254,B,B,12,12
57,0.6,1,15,111,209,B,B,12,12
58,0.6,1,15,254,202,B,R,42,0
59,0.6,1,15,276,176,B,B,12,12
60,0.6,1,15,261,137,B,B,12,12
61,0.6,1,16,202,261,R,R,45,45
62,0.6,1,16,276,176,B,B,12,12
63,0.6,1,16,111,209,R,B,0,42
64,0.6,1,16,137,254,B,B,12,12
65,0.6,1,17,209,261,R,R,45,45
66,0.6,1,17,111,276,B,B,12,12
67,0.6,1,17,202,254,R,B,0,42
68,0.6,1,17,176,137,B,B,12,12
69,0.6,1,18,137,111,B,B,12,12
70,0.6,1,18,254,176,B,B,12,12
71,0.6,1,18,261,276,R,B,0,42
72,0.6,1,18,202,209,R,R,45,45
73,0.6,1,19,254,202,B,R,42,0
74,0.6,1,19,209,137,R,B,0,42
75,0.6,1,19,276,261,B,B,12,12
76,0.6,1,19,176,111,B,R,42,0
77,0.6,1,20,176,209,B,B,12,12
78,0.6,1,20,276,254,B,B,12,12
79,0.6,1,20,137,202,B,R,42,0
80,0.6,1,20,111,261,B,R,42,0
81,0.6,1,21,202,261,R,B,0,42
82,0.6,1,21,209,254,B,B,12,12
83,0.6,1,21,137,276,B,B,12,12
84,0.6,1,21,176,111,B,B,12,12
85,0.6,1,22,202,209,R,B,0,42
86,0.6,1,22,111,176,B,B,12,12
87,0.6,1,22,276,137,B,B,12,12
88,0.6,1,22,261,254,R,B,0,42
89,0.6,1,23,111,137,B,B,12,12
90,0.6,1,23,209,276,R,B,0,42
91,0.6,1,23,254,202,B,R,42,0
92,0.6,1,23,176,261,B,B,12,12
93,0.6,1,24,276,137,B,B,12,12
94,0.6,1,24,202,176,R,B,0,42
95,0.6,1,24,261,111,R,R,45,45
96,0.6,1,24,209,254,B,B,12,12
97,0.6,1,25,254,202,B,R,42,0
98,0.6,1,25,176,276,B,B,12,12
99,0.6,1,25,209,111,B,B,12,12
100,0.6,1,25,137,261,B,R,42,0
101,0.6,1,26,261,137,B,B,12,12
102,0.6,1,26,202,176,R,B,0,42
103,0.6,1,26,254,111,B,R,42,0
104,0.6,1,26,209,276,B,B,12,12
105,0.6,1,27,254,202,B,R,42,0
106,0.6,1,27,209,276,B,B,12,12
107,0.6,1,27,137,261,B,R,42,0
108,0.6,1,27,111,176,R,B,0,42
